t,x,y,theta,v,w
22.966,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.066,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.166,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.265,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.365,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.466,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.565,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.666,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.765,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.865,-0.0018,-0.0000,0.0256,0.0000,0.0000
23.966,-0.0018,-0.0000,0.0256,0.0000,0.0000
24.066,-0.0018,-0.0000,0.0256,0.0000,0.0000
24.165,-0.0018,-0.0000,0.0256,0.0000,0.0000
24.264,-0.0018,-0.0000,0.0256,0.0000,0.0000
24.376,-0.0015,-0.0000,0.0277,0.0027,0.0192
24.465,-0.0015,-0.0000,0.0277,0.0000,0.0000
24.565,-0.0015,-0.0000,0.0320,0.0000,0.0426
24.666,-0.0012,-0.0000,0.0469,0.0030,0.1479
24.765,-0.0009,0.0000,0.0746,0.0031,0.2798
24.865,-0.0000,0.0001,0.1108,0.0091,0.3617
24.964,0.0012,0.0002,0.1492,0.0121,0.3832
25.066,0.0021,0.0004,0.1939,0.0091,0.4459
25.167,0.0039,0.0008,0.2408,0.0182,0.4678
25.265,0.0050,0.0011,0.2877,0.0122,0.4711
25.366,0.0059,0.0014,0.3367,0.0091,0.4894
25.463,0.0065,0.0016,0.3879,0.0061,0.5158
25.565,0.0073,0.0020,0.4411,0.0090,0.5268
25.665,0.0079,0.0022,0.4923,0.0061,0.5137
25.764,0.0089,0.0028,0.5392,0.0122,0.4693
25.864,0.0133,0.0056,0.5669,0.0516,0.2768
25.965,0.0192,0.0094,0.5861,0.0701,0.1924
26.065,0.0267,0.0145,0.5989,0.0910,0.1277
26.165,0.0367,0.0213,0.6074,0.1211,0.0850
26.265,0.0489,0.0299,0.6138,0.1491,0.0641
26.365,0.0638,0.0404,0.6180,0.1826,0.0427
